n,sign,q,value,factors,prime,rough_squarefree_P2
1016,-1,11,1032245,5*431*479,0,0
1016,-1,13,1032243,3*181*1901,0,0
1016,-1,17,1032239,13*271*293,0,0
1016,-1,19,1032237,3*3*3*38231,0,0
1016,-1,23,1032233,1032233,1,1
1016,-1,29,1032227,7*167*883,0,0
1016,-1,31,1032225,3*5*5*13763,0,0
1016,-1,37,1032219,3*3*114691,0,0
1016,-1,41,1032215,5*43*4801,0,0
1016,-1,43,1032213,3*7*13*19*199,0,0
1018,1,3,1036327,1036327,1,1
1018,1,5,1036329,3*7*61*809,0,0
1018,1,7,1036331,1036331,1,1
1018,1,11,1036335,3*5*59*1171,0,0
1018,1,13,1036337,17*60961,0,1
1018,1,17,1036341,3*3*3*131*293,0,0
1018,1,19,1036343,7*11*43*313,0,0
1018,1,23,1036347,3*13*26573,0,0
1018,1,29,1036353,3*345451,0,0
1018,1,31,1036355,5*19*10909,0,0
1018,1,37,1036361,31*101*331,0,0
1018,1,41,1036365,3*5*11*11*571,0,0
1018,1,43,1036367,1036367,1,1
1018,-1,3,1036321,11*13*7247,0,0
1018,-1,5,1036319,1036319,1,1
1018,-1,7,1036317,3*19*18181,0,0
1018,-1,11,1036313,151*6863,0,1
1018,-1,13,1036311,3*23*23*653,0,0
1018,-1,17,1036307,1036307,1,1
1018,-1,19,1036305,3*3*5*23029,0,0
1018,-1,23,1036301,7*7*21149,0,0
1018,-1,29,1036295,5*13*107*149,0,0
1018,-1,31,1036293,3*345431,0,0
1018,-1,37,1036287,3*3*3*7*5483,0,0
1018,-1,41,1036283,103*10061,0,1
1018,-1,43,1036281,3*223*1549,0,0
1020,1,3,1040403,3*7*13*37*103,0,0
1020,1,5,1040405,5*23*83*109,0,0
1020,1,7,1040407,1040407,1,1
1020,1,11,1040411,1040411,1,1
1020,1,13,1040413,11*94583,0,1
1020,1,17,1040417,7*7*17*1249,0,0
1020,1,19,1040419,1040419,1,1
1020,1,23,1040423,307*3389,0,1
1020,1,29,1040429,13*163*491,0,0
1020,1,31,1040431,7*148633,0,1
1020,1,37,1040437,521*1997,0,1
1020,1,41,1040441,211*4931,0,1
1020,1,43,1040443,53*67*293,0,0
1020,-1,3,1040397,3*241*1439,0,0
1020,-1,5,1040395,5*251*829,0,0
1020,-1,7,1040393,719*1447,0,1
1020,-1,11,1040389,7*148627,0,1
1020,-1,13,1040387,1040387,1,1
1020,-1,17,1040383,17*19*3221,0,0
1020,-1,19,1040381,1040381,1,1
1020,-1,23,1040377,13*191*419,0,0
1020,-1,29,1040371,1040371,1,1
1020,-1,31,1040369,11*271*349,0,0
1020,-1,37,1040363,71*14653,0,1
1020,-1,41,1040359,23*45233,0,1
1020,-1,43,1040357,197*5281,0,1
1022,1,3,1044487,19*54973,0,1
